symbol,current_ratio,gross_margin,operating_margin,debt_to_equity,price_to_sales,volume,return_1m,return_6m,stochrsi,current_ratio_rank,gross_margin_rank,operating_margin_rank,debt_to_equity_rank,price_to_sales_rank,volume_rank,return_1m_rank,return_6m_rank,stochrsi_rank
HIBB,1.95,0.38218316114385376,0.0996,63.5,0.757821050769768,543856.3492063492,0.08124789862298609,0.7268851496564839,100.0,0.49665382275400527,0.41021579885171255,0.6073856329230204,0.4594471098926205,0.8272946859903382,0.5401433033253721,0.6776583919970359,0.7711978465679677,0.8830602255799106
HIFS,,1.0,0.7765000000000001,,6.509195777560127,5190.079365079365,0.1828184358456395,0.4865772484757305,98.89776743382795,0.0,0.8985349435755295,0.9520485026639721,0.0,0.3178341384863124,0.02076060995774389,0.8505001852537977,0.6308402230340319,0.7035539476484358
HIG,2.07,0.34073387332877914,0.1202,25.02,0.9001422589286147,2732362.0967741935,0.07468771471301783,0.3229187592018572,97.73759939732209,0.521496653822754,0.35478123143931894,0.6409149366158369,0.6888279643591501,0.7971014492753623,0.8668013962888114,0.6630233419785105,0.49048259950009615,0.6550329857416471
HIHO,2.93,0.3581186572989852,0.077,20.33,1.278395766071004,138368.25396825396,-0.28109918483525353,0.24725760091928617,96.2294107219185,0.6540255526262422,0.3811126509602059,0.5645783575234246,0.7194425405528901,0.7236312399355878,0.2575785412456366,0.0640978140051871,0.420496058450298,0.5916152372845286
HII,1.1,0.17839974361713493,0.0947,98.89,0.7769702913903512,390187.9032258064,0.14549850437157863,0.28343082251227614,79.59610579787743,0.2352464003244778,0.17343100376163137,0.5979239390042256,0.3296778615490062,0.8230676328502415,0.4589380856145508,0.7956650611337532,0.45625841184387617,0.28367737816556715
HIL,2.03,0.1988575828683897,0.0519,71.37,0.49830265188807016,281406.74603174604,0.11715479460240319,0.9208633840087168,100.0,0.5129791117420401,0.1958028113244902,0.5122175270990262,0.4220927575965273,0.8810386473429952,0.3876538673525629,0.7526861800666914,0.844452989809652,0.8830602255799106
HIMS,6.31,0.7018703619566864,-0.1821,,17.824665670627432,594847.1337579618,-0.45935804957182447,0.19429103840295547,,0.8444534577164875,0.6782815284102158,0.17159654602241411,0.0,0.143317230273752,0.5636597464633474,0.006854390515005557,0.3612766775620073,0.0
HIMX,2.01,0.24882844462076317,0.0183,33.49,2.058905444815389,1899423.8095238095,-0.15525483262674622,1.9309392243360834,100.0,0.5091259379436219,0.25361314591170064,0.44451589197133934,0.6368517249257483,0.6155394524959742,0.8100312327760426,0.16080029640607632,0.9565468179196308,0.8830602255799106
HIO,0.96,1.0,0.8656,,9.551014362518293,526507.1428571428,0.0025878491859054886,0.021961433211673098,88.69941507012629,0.1866761306023119,0.8985349435755295,0.9852103619327577,0.0,0.24677938808373592,0.5329781370567702,0.47962208225268615,0.1655450874831763,0.39433922111087466
HIW,2.44,0.6871056343255884,0.3171,101.4,6.07972458202593,996425.7936507936,0.09411044198185947,0.2441591607816782,94.21650894674478,0.5890285946055567,0.66620471193823,0.8245452875252618,0.3213388165410098,0.33172302737520126,0.6799559066691163,0.7069284920340867,0.41799653912709095,0.5181953607150458
HIX,0.09,1.0,0.865,32.43,9.971416745035809,327368.65079365077,-0.017710019328991522,0.05834467817132549,99.97128086531848,0.02180085175420807,0.8985349435755295,0.9849347786147346,0.643363034041581,0.23772141706924316,0.4196215322432482,0.4103371619118192,0.20995962314939434,0.7578208129389232
HJLI,3.12,,0.0,19.87,,3255601.587301587,-0.3606557761491922,-0.4689361896920712,90.16854881438435,0.6727844250659095,0.0,0.33951864780451957,0.7232122458304775,0.0,0.8884806173066324,0.027973323453130788,0.009805806575658528,0.42306873802936795
HKIB,13.61,0.8139285601795384,0.0,3.78,2.1408463137819433,44051.19047619047,0.12755904802275908,0.05604714245495601,,0.9393632123301562,0.7448030093050881,0.33951864780451957,0.8912497144162669,0.6052737520128825,0.12474738195847879,0.7675064838829196,0.2072678331090175,0.0
HL,1.9,0.4377002715816342,0.0839,31.35,4.405511818583999,10332817.857142856,-0.06061348597856031,-0.00029224732378607676,69.7779772843648,0.48509430135875076,0.46584834686200755,0.578357523424582,0.6515878455563171,0.4086151368760064,0.9718905015616388,0.29529455353834755,0.14054989425110556,0.21217280272398384
HLF,1.58,0.48740481432025695,0.1156,,1.0058245432854835,1279515.873015873,-0.12219123867792847,-0.02856554447199333,59.60747470552891,0.3964713039951328,0.5107899425856266,0.6336579092412272,0.0,0.7737520128824477,0.7321330148814992,0.20211189329381252,0.11882330321092098,0.16343902958076187
HLG,1.44,0.23753561672752213,0.0,1.26,1.1834680314612138,5778.571428571428,0.01650739835853332,0.24468085106382986,79.3768546606777,0.3510444128979923,0.24193229063551772,0.33951864780451957,0.9469956591272561,0.7393317230273752,0.022230387653867353,0.5320489070025936,0.4185733512786003,0.2819748882741009
HLI,1.43,0.9671630899864009,0.253,13.3,2.616087998882303,437093.25396825396,0.022524229476923008,0.15705977670173854,63.74774333412328,0.3473940377205435,0.7946941199762423,0.7800845122175271,0.7761023532099611,0.5565619967793881,0.4864964174168657,0.5492775101889589,0.31609305902711016,0.17961268354969143
HLIO,1.98,0.3787511471397981,0.1499,80.28,4.532103816826215,129052.38095238095,0.22345906412716054,0.8385028879042118,99.99999999999999,0.5017237882782397,0.40506830330627597,0.6818849898952783,0.38599497372629654,0.39855072463768115,0.2485761528568804,0.8944053353093738,0.817919630840223,0.7761225792721855
HLIT,1.62,0.6166100451124644,0.0751,71.54,2.0871154034080863,700526.5873015873,0.026178048376628515,0.4000000510896964,99.847990897486,0.4080308253903873,0.6200752326272025,0.5607201910711005,0.42129312314370576,0.6125201288244766,0.6026088554106191,0.5581696924786959,0.5589309748125361,0.7510108533730581
