symbol,most_recent_quarter,shares_outstanding,payout_ratio,profit_margin,operating_margin,return_on_assets,return_on_equity,revenue_per_share,quarterly_revenue_growth,ebitda,diluted_eps,quarterly_earnings_growth,total_cash_per_share,total_debt_to_equity,current_ratio,operating_cash_flow
PRFX,2020-06-29,8910000.0,0.0,0.0,0.0,-0.9549,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.94,-999.0,0.08,-999.0
IPHA,2020-06-29,78970000.0,0.0,-0.6992,0.0,-0.0818,-0.2279,-999.0,-0.379,-999.0,-999.0,-999.0,-999.0,9.06,1.99,-999.0
CCM,2020-06-29,43410000.0,0.0,-1.6261,0.0,-0.0469,-0.1402,-999.0,-0.166,-999.0,-1.091,-999.0,-999.0,93.65,1.17,-999.0
GSUM,2020-06-29,35010000.0,0.0,-1.3243,0.0,-0.3314,-999.0,-999.0,-0.072,-999.0,-1.516,-999.0,-999.0,-999.0,0.31,-999.0
SLN,2020-06-29,29800000.0,0.0,0.0,0.0,-0.2615,-0.8178,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.05,9.82,-999.0
APM,2020-06-29,11570000.0,0.0,0.0,-29.3577,-0.4755,-0.8408,0.02,0.365,-16860000.0,-0.536,-999.0,0.14,18.11,1.99,-13070000.0
IMTE,2020-06-29,6510000.0,0.0,0.0,0.0,-0.4036999999999999,-6.772200000000001,-999.0,0.31,-999.0,-0.58,-999.0,-999.0,-999.0,0.21,-999.0
BKT,2020-06-29,63800000.0,1.3316,0.8475,0.8453,-999.0,-999.0,0.38,-0.018,-999.0,0.32,-0.414,0.02,46.16,0.06,26780000.0
GSMG,2020-06-29,61700000.0,0.0,0.4378,0.4338,0.2101,0.4534,9.74,0.063,28790000.0,-999.0,0.374,0.16,12.37,3.65,20520000.0
MCN,2020-06-29,20950000.0,4.2353,-0.0081,0.4886,0.0059,-0.0002,0.14,-0.218,-999.0,-0.0,-999.0,-999.0,0.23,0.01,-999.0
CEO,2020-06-29,446480000.0,0.7759,0.2073999999999999,0.0,0.0472,0.0943,-999.0,-0.318,-999.0,11.5,-0.657,-999.0,33.41,2.0,-999.0
PT,2020-06-29,39690000.0,0.0,-1.3355,0.0,-0.2963,-1.5245,-999.0,-0.475,-999.0,-0.809,-999.0,-999.0,157.58,0.82,-999.0
BAOS,2020-06-29,26400000.0,0.0,0.6342,0.5696,-999.0,-999.0,0.82,-0.106,10050000.0,-999.0,-0.088,0.26,14.73,2.0,1730000.0
ASG,2020-06-29,41640000.0,0.4947999999999999,30.6906,-1.0344,-0.0034999999999999,0.1719,0.03,-0.032,-999.0,1.02,-0.434,-999.0,2.16,1.01,-999.0
SINA,2020-06-29,59730000.0,0.0,-0.0467,0.1871999999999999,0.0356999999999999,0.0166,31.04,-0.047,439060000.0,-1.46,-999.0,44.03,50.74,2.65,-999.0
AEHL,2020-06-29,3700000.0,0.0,0.3799,0.0,0.1377,0.5692,-999.0,-0.7759999999999999,-999.0,-999.0,-999.0,-999.0,59.61,2.65,-999.0
PSO,2020-06-29,753730000.0,0.5686,0.075,0.0,0.0227999999999999,0.0626999999999999,-999.0,-0.184,-999.0,1.01,0.021,-999.0,46.01,1.94,-999.0
PNF,2020-06-29,7830000.0,2.3294,0.4003,0.8323999999999999,0.0208,0.0202,0.86,-0.118,-999.0,0.23,-999.0,0.0,19.58,0.17,21980000.0
MDJH,2020-06-29,11640000.0,0.0,0.1778,0.1618,0.0613999999999999,0.1219,0.53,0.212,1020000.0,0.094,-999.0,0.54,3.98,7.84,-999.0
GPM,2020-06-29,48340000.0,-999.0,0.0,0.5106,0.0063,-0.1469,0.2,-0.09,-999.0,-1.02,-999.0,0.0,44.1,0.07,81110000.0
DBVT,2020-06-29,109770000.0,0.0,0.0,0.0,-0.3571999999999999,-0.9415,-999.0,-0.119,-999.0,-3.27,-999.0,-999.0,10.06,4.28,-999.0
ABCM,2020-06-29,226690000.0,2.0268,0.0481,0.0,0.0441999999999999,0.0282,-999.0,-0.099,-999.0,-999.0,-999.0,-999.0,46.6,1.75,-999.0
PRTC,2020-06-29,28590000.0,0.0,38.4536,-9.6107,-0.0855,0.9412,0.43,0.56,-113960000.0,-999.0,0.6859999999999999,11.99,5.01,2.22,-98930000.0
HYT,2020-06-29,121900000.0,1.1077,1.4494999999999998,0.8887,-999.0,-999.0,-999.0,-999.0,-999.0,0.74,-999.0,0.01,47.02,0.06,-249830000.0
INDO,2020-06-29,7410000.0,0.0,-1.5897,-1.6421,-0.1997,-0.5057,0.45,-0.535,-4070000.000000001,-0.07,-999.0,1.28,20.86,7.4,-999.0
HYB,2020-06-29,23370000.0,1.3333000000000002,-0.2447,0.8658,0.0334,-0.0215,0.83,-0.074,-999.0,-0.2,-999.0,0.35,37.04,0.18,35950000.0
PMF,2020-06-29,25920000.0,1.08,0.3889,0.8436,0.0226,0.0200999999999999,1.0,-0.107,-999.0,0.25,-999.0,-999.0,15.69,0.29,62550000.0
SGOC,2020-06-29,100600000.0,0.0,0.0,-0.7064,-0.013,-0.2471999999999999,0.06,-0.084,-999.0,-0.233,-999.0,0.04,13.21,2.23,-999.0
MDGS,2020-06-29,20030000.0,0.0,0.0,-27.9208,-0.2557999999999999,-1.6071,0.94,-0.493,-5530000.0,-69.94,-999.0,31.58,1.03,2.74,-3640000.0
LGHL,2020-06-29,19470000.0,-999.0,0.4421,0.4426,-999.0,-999.0,68.46,-0.207,-999.0,-999.0,-0.313,0.45,6.45,3.43,5850000.0
SDH,2020-06-29,23520000.0,0.0,0.5255,0.5728,0.3261,0.5426,1.11,0.122,11220000.0,-999.0,0.02,0.34,0.76,5.41,-999.0
FRLN,2020-06-29,34740000.0,0.0,0.0,0.0,-999.0,-999.0,-999.0,-999.0,-60990000.0,-999.0,-999.0,2.97,-999.0,6.05,-51440000.0
AGMH,2020-06-29,21830000.0,0.0,-2.3014,-1.5678,-0.0657,-0.2027,0.03,0.1159999999999999,-1080000.0,-0.08,-999.0,0.07,4.92,2.57,-999.0
MRM,2020-06-29,4820000.0,0.0,-0.1484,0.0,-999.0,-999.0,-999.0,-0.332,-999.0,-999.0,-999.0,-999.0,1518.55,0.37,-999.0
SRL,2020-06-29,12550000.0,0.0,-0.052,0.0,-0.0062,-0.0084,-999.0,-0.5589999999999999,-999.0,-999.0,-999.0,-999.0,11.77,4.47,-999.0
FWP,2020-06-29,6890000.0,0.0,0.0,0.0,-0.0325,-0.0467,-999.0,-999.0,-4080000.0,-0.49,-999.0,9.37,-999.0,118.57,-999.0
BGT,2020-06-29,22600000.0,1.8274,2.1664,0.8281999999999999,-999.0,-999.0,-999.0,-999.0,-999.0,0.53,-999.0,0.0,41.49,0.05,-32370000.0
MTC,2020-06-29,20820000.0,0.0,0.0,-5.5312,-0.2257999999999999,-0.4100999999999999,0.02,0.853,-1920000.0,-0.096,-999.0,0.09,23.81,3.97,-1560000.0
